id;OEM;Артикул;Бренд;Группа;Деталь;Номенклатура;З/Н;Комментарий;Цена;Новинка;Уникльный ключ;Категория по бренду;Ранг по бренду;Категория по деталям;Ранг по деталям;Ранг;abc/xyz;Дата;Компания
517185;AMD.FC754A;1709013;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1709013/AMD.FC754A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);FORD (Focus III) (2011-);614,00;;517185AMD.FC754A;BZ;1002;AY;6;1002;AY;01.08.2023;Москворечье
519485;AMD.FC763A;1748480;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1748480/AMD.FC763A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);FORD (Transit VII) (2006-);508,00;;519485AMD.FC763A;CZ;1294;CZ;58;1294;CZ;01.08.2023;Москворечье
522929;AMD.FC919A;1770813;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1770813/AMD.FC919A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);SCANIA (P,G,R - series) (2004-);404,00;Новинка;522929AMD.FC919A;;0;;0;4547;CZ;01.08.2023;Москворечье
519486;AMD.FC838A;1812679;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1812679/AMD.FC838A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);FORD (Transit VIII) (2014-);633,00;;519486AMD.FC838A;CZ;1275;CZ;57;1275;CZ;01.08.2023;Москворечье
522927;AMD.FC917A;1825427;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1825427/AMD.FC917A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);DAF (95 XF) (1997-2002) (XF 95) (2002-2006);385,00;Новинка;522927AMD.FC917A;;0;;0;4547;CZ;01.08.2023;Москворечье
523334;AMD.FC927A;1953596;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1953596/AMD.FC927A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);DAF (XF) (2015-);1 372,00;;523334AMD.FC927A;;0;;0;4547;CZ;01.08.2023;Москворечье
519532;AMD.FC742A;1H0819644B;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1H0819644B/AMD.FC742A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);SKODA (Octavia 1U2) (Octavia 1U5) (без конд.) (-2010) VOLKSWAGEN (Passat V 3B3, 3B6) (2000-2005);478,00;;519532AMD.FC742A;;0;;0;4547;CZ;01.08.2023;Москворечье
519533;AMD.FC712A;1J0819644A;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1J0819644A/AMD.FC712A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);SKODA (Octavia 1U2) (Octavia 1U5) (с конд.) (-2010) VOLKSWAGEN (Golf IV) (-2005);447,00;;519533AMD.FC712A;CZ;1336;CZ;80;1336;CZ;01.08.2023;Москворечье
517522;AMD.FC743A;1K1819653B;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1K1819653B/AMD.FC743A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);SKODA (Octavia II 1Z3) (Octavia II 1Z5) (-2013) VOLKSWAGEN (Passat VI) (2005-2010) (Passat VII) (201;594,00;;517522AMD.FC743A;AY;870;AX;4;870;AX;01.08.2023;Москворечье
522931;AMD.FC922A;2095029;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 2095029/AMD.FC922A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);SCANIA (G,L,P,R New Generation) (2017-);399,00;Новинка;522931AMD.FC922A;;0;;0;4547;CZ;01.08.2023;Москворечье
